product,store,region,price
Limão Tahiti,fort,blumenau_itoupava,0.29
Limão Tahiti,fort,florianopolis_costeira,0.29
Limão Tahiti,fort,porto_belo,0.29
Limão Tahiti,fort,balneario_camboriu,0.29
Limão Tahiti,fort,itajai_saojoao,0.29
Cebola,fort,balneario_camboriu,0.34
Cebola,fort,porto_belo,0.34
Cenoura,fort,balneario_camboriu,0.36
Cebola,fort,saojose_belavista,0.36
Cebola,fort,palhoca_passavinte,0.36
Cenoura,fort,porto_belo,0.36
Cenoura,fort,florianopolis_costeira,0.36
Cebola,fort,florianopolis_costeira,0.36
Cenoura,fort,itajai_saojoao,0.36
Cenoura,fort,blumenau_itoupava,0.36
Cebola,fort,blumenau_itoupava,0.36
Limão Tahiti,fort,saojose_belavista,0.45
Limão Tahiti,fort,palhoca_passavinte,0.45
Refresco em Pó Frisco Limão 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Morango 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Morango 18g,fort,florianopolis_costeira,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,blumenau_itoupava,0.48
Refresco em Pó Frisco Morango 18g,fort,blumenau_itoupava,0.48
Refresco em Pó Frisco Uva 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Maracujá 18g,fort,florianopolis_costeira,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,florianopolis_costeira,0.48
Refresco em Pó Frisco Uva 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Maracujá 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Laranja 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Morango 18g,fort,itajai_saojoao,0.48
Refresco em Pó Frisco Uva 18g,fort,florianopolis_costeira,0.48
Refresco em Pó Frisco Limão 18g,fort,florianopolis_costeira,0.48
Refresco em Pó Frisco Morango 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Laranja 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Maracujá 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Limão 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Uva 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Maracujá 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Laranja 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Morango 18g,fort,palhoca_passavinte,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Limão 18g,fort,balneario_camboriu,0.48
Refresco em Pó Frisco Limão 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Uva 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Abacaxi 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Maracujá 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Laranja 18g,fort,saojose_belavista,0.48
Refresco em Pó Frisco Laranja 18g,fort,florianopolis_costeira,0.48
