region,store,unique_products,avg_price
balneario_camboriu,fort,9847,29.62
palhoca_passavinte,fort,9543,29.54
saojose_belavista,fort,9543,29.54
itajai_saojoao,fort,9440,29.19
blumenau_itoupava,fort,9344,29.46
florianopolis_costeira,fort,9317,28.92
palhoca_pagani,giassi,8859,20.54
blumenau_victor_konder,giassi,8795,20.73
jaragua_centro,giassi,8767,20.58
sao_jose_areias,giassi,8702,20.54
tubarao_vila_moema,giassi,8679,20.27
tubarao_oficinas,giassi,8679,20.27
florianopolis_santa_monica,giassi,8648,20.0
florianopolis_sacogrande,giassi,8609,20.0
icara_centro,giassi,8591,20.76
criciuma_centenario,giassi,8585,20.76
criciuma_santa_barbara,giassi,8585,20.76
joinville_bucarein,giassi,8560,20.64
joinville_america,giassi,8517,20.59
porto_belo,fort,8365,30.86
ararangua_centro,giassi,8210,19.18
ararangua_cidade_alta,giassi,8210,19.18
florianopolis_costeira,bistek,7475,19.81
blumenau_itoupava,bistek,7407,18.97
itajai_saojoao,bistek,7257,18.42
saojose_belavista,bistek,7254,18.09
poa_guadix,bistek,7222,19.17
criciuma_centro,bistek,7220,19.03
palhoca_passavinte,bistek,6711,18.43
poa_nilo,bistek,6449,18.4
torres_centro,bistek,6236,17.79
balneario_camboriu,bistek,5880,17.5
brusque_saoluiz,bistek,5588,15.81
joinville_aventureiro,bistek,5098,15.54
lages_coral,bistek,4955,15.86
morro_da_fumaca,giassi,28,16.6
sombrio_centro,giassi,27,17.83
